0,1,2,3,4,5
4262918,3,0.0206783,99.9299,12.8468,8.48292
4264891,1,0.002032,99.4734,11.3319,-61.2666
4264891,3,0.0909192,99.4713,11.3294,-61.2665
4310011,1,0.00925,99.9488,49.8186,64.3237
4310011,2,0.02775,99.9489,49.8182,64.3239
4311108,1,0.06332,99.9016,-42.4359,17.9954
4311108,4,0.021486,99.9014,-42.4361,17.9954
4362247,1,0.017041,99.776,-20.6153,-70.0184
4362247,3,0.027555,99.7758,-20.6157,-70.0182
4459746,1,1.3e-05,99.7536,-55.9846,68.0635
4459746,3,0.0498954,99.7525,-55.9848,68.0641
4655906,1,0.06332,98.6981,12.0104,22.5112
4655906,3,0.0361988,98.6975,12.0102,22.5115
4703063,1,0.010876,99.7186,11.5611,-51.3393
4703063,2,0.081124,99.7193,11.5587,-51.3402
4705008,1,0.00925,99.8396,-48.7159,4.62025
4705008,3,0.0551134,99.8387,-48.7168,4.62085
4754933,1,0.06332,99.3271,-36.8847,59.1639
4754933,3,0.0280296,99.3269,-36.8843,59.1637
4850572,1,0.010876,99.933,-66.3542,-42.2921
4850572,3,0.0383794,99.9329,-66.354,-42.2914
4903443,1,0.06332,99.8848,68.9904,-27.4429
4903443,3,0.0229934,99.8847,68.9907,-27.4431
5004170,1,0.00925,99.9033,-45.7976,-29.8665
5004170,4,0.0622231,99.9026,-45.7992,-29.8666
5005283,1,0.010876,99.9414,-30.4118,66.5613
5005283,3,0.0259638,99.9417,-30.4121,66.5612
5101205,1,0.002499,99.6315,-21.4362,1.58101
5101205,3,0.044105,99.6307,-21.4361,1.58045
5101797,1,0.000366,99.9959,-22.8529,-4.73104
5101797,3,0.0349656,99.996,-22.8532,-4.73167
5199959,1,0.06332,99.5016,-60.7358,-21.5442
5199959,3,0.0238137,99.5013,-60.7357,-21.5444
5247143,1,0.06332,99.8413,-9.64,33.3514
5247143,3,0.0237254,99.8409,-9.64019,33.3514
5297220,1,0.010355,99.5494,-75.9977,68.4208
5297220,3,0.0139121,99.5488,-75.9981,68.4209
5297220,3,0.00870431,99.5488,-75.9981,68.4209
5297220,4,0.010355,99.5512,-76.0009,68.4261
5297220,5,0.00397315,99.5512,-76.0009,68.4261
5397506,1,0.06332,99.9659,-70.5963,-20.0669
5397506,3,0.0401392,99.9659,-70.597,-20.0674
5494029,1,0.00925,99.4578,-26.1517,54.8071
5494029,3,0.0218868,99.4578,-26.1514,54.8062
5494029,3,0.00822328,99.4578,-26.1515,54.8062
5494029,4,0.00925,99.458,-26.1567,54.8039
5494029,5,0.00129894,99.458,-26.1567,54.8039
5494552,1,0.06332,99.7531,71.8364,30.6305
5494552,2,0.03168,99.7528,71.8368,30.6302
5494654,1,0.06332,99.9482,41.287,-37.5206
